pagnr,zpsex,zpage,w1_q88,w1_q107,w1_q115,w1_q116,w1_q4,w2_q4,w1_q5x1,w2_q2x1,w1_q6x1,w1_q7,w2_q3,w1_q8,w1_q12,w1_q43,w1_q44,w1_q48x1,w1_q48x2,w1_q48x3,w1_q48x4,w1_q48x5,w1_q48x6,w2_q15,w1_q49,w2_q14,w1_q50,w1_q51,w1_quiz,w2_quiz,w1_q21,w1_q22,w1_q26x1,w1_q26x2,w1_q26x3,w1_q26x4,w1_q26x5,w1_q26x6,w1_q26x7,w1_q26x8,w1_q26x9,w1_q26x10,w1_q26x11,w1_q26x12,w1_q68x1,w1_q76x2,w1_q64x1,w1_q64x2,w1_q64x3,w1_q83x1,w1_q83x6,w1_q83x2,w1_q83x7,w1_q83x3,w1_q83x8,w1_q83x4,w1_q83x9,w1_q83x5,w1_q83x10,w1_q66x1,w1_q66x2,w1_q66x3,w1_q66x4,w1_q68x1,w1_q68x2,w1_q68x3,w2_q33,w2_q34x1,w2_q34x2,w2_q34x3,w2_q34x4,w2_q34x5,w2_q34x6,w2_q34x7,w2_q34x8,w2_q35R1,w2_q35R2,w2_q35R3,w2_q35R4,w2_q35R5,w2_q35R6,w2_q35R7,w2_q35R8,w2_q35R9,w2_q35R10,w2_q35R11,w2_q35R12,w2_q35R13,w2_q35R14,w2_q35R15,w2_q35R88,w2_q35R99,w2_q36,w2_q37x1,w2_q37x2,w2_q37x3,w2_q37x4,w2_q37x5,w2_q37x6,w2_q37x7,w2_q37x8,w2_q38R1,w2_q38R2,w2_q38R3,w2_q38R4,w2_q38R5,w2_q38R6,w2_q38R7,w2_q38R8,w2_q38R9,w2_q38R10,w2_q38R88,w2_q38R99,w2_q39x1,w2_q39x2,w2_q39x3,w2_q39x4,w2_q39x5,w2_q41,w2_q42x1,w2_q42x2,w2_q42x3,w2_q42x4,w2_q43R1,w2_q43R2,w2_q43R3,w2_q43R4,w2_q43R5,w2_q43R6,w2_q43R7,w2_q43R8,w2_q43R9,w2_q43R10,w2_q43R11,w2_q43R12,w2_q43R13,w2_q43R14,w2_q43R15,w2_q43R16,w2_q43R17,w2_q43R88,w2_q43R99,w2_q44,w2_q45,w2_q46,w2_q47,w2_q48,w2_q49,a_immigration_index,strategy
1913,2,39,7,1,2,,2,,13000,,11000,1,,1,4,1,2,9,9,0,0,9,2,,10,,1,,5,,3,2,4,1,2,2,4,3,1,4,2,4,2,3,1,5,4,4,,2,2,2,4,4,1,3,4,3,1,2,4,2,4,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,1
4291,1,39,13,1,2,,3,3,10000,10000,10000,2,2,2,6,2,3,2,8,5,8,4,7,5,9,4,,,7,5,1,3,2,4,4,4,4,2,3,4,3,2,1,2,2,4,1,3,5,3,3,2,3,5,1,1,5,2,3,2,3,3,4,2,3,3,3,9,5,8,8,8,9,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,8,8,1,8,8,9,9,8,0,0,0,0,0,0,1,0,0,0,0,0,5,5,5,5,5,4,2,4,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,,,,4.5,1
709,2,48,6,1,2,,3,,15000,,12000,1,,,3,,,6,1,8,8,2,0,,5,,,,4,,2,0,5,2,1,2,3,2,1,4,3,3,2,3,1,3,4,3,4,4,2,3,3,5,1,2,4,3,3,2,2,3,4,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3
4036,2,18,8,4,1,20,2,,13000,,10000,1,,,3,1,2,10,3,1,1,7,2,,10,,1,,4,,3,,5,1,1,5,3,1,2,3,2,2,5,4,2,3,3,3,3,2,1,2,4,4,1,2,4,3,1,2,2,2,4,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,1
2437,2,39,7,1,2,7,2,3,10000,,11000,2,,2,6,2,2,5,10,0,1,2,0,2,10,4,2,,3,4,1,4,4,2,3,3,2,1,2,4,1,3,2,2,1,4,4,3,3,2,4,3,2,5,1,4,2,3,3,2,2,3,3,1,1,3,2,4,8,4,8,8,9,9,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,4,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,4,1
200,1,63,7,5,2,8,2,,21000,,77777,3,,3,10,3,1,0,8,10,0,0,8,,10,,3,,4,,1,0,2,1,1,4,4,4,1,,2,5,1,1,1,3,3,4,1,2,4,4,2,4,2,4,3,4,2,1,1,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2
427,1,67,7,5,2,15,3,1,10000,13000,11000,12,12,1,4,1,3,9,5,0,0,0,0,1,10,4,1,,5,5,1,2,5,4,3,5,5,2,1,1,1,2,1,2,1,4,5,5,4,4,1,1,1,4,1,1,5,4,2,3,3,2,4,1,4,2,1,7,3,3,2,8,2,5,5,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,7,7,1,5,5,8,1,8,0,0,0,0,0,0,0,1,0,0,0,0,5,4,5,5,5,2,2,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,1,2,4.5,3
30,1,63,7,5,2,3,2,1,21000,10000,11000,6,1,1,4,1,2,10,0,0,0,5,0,1,10,4,1,,3,4,1,10,3,2,2,4,4,5,1,1,3,1,1,4,2,3,3,2,2,1,5,3,3,2,1,1,5,4,1,,,,4,2,3,,1,7,2,9,9,2,7,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,,,,,,,,,,,,,,,,,,,,,5,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3.5,1
710,1,90,3,1,1,,1,,21000,,,2,,,7,2,3,1,10,0,1,2,0,,10,,2,,4,,1,8,4,3,4,2,4,4,3,3,2,,3,4,1,4,2,3,3,4,2,2,3,5,1,1,5,2,2,2,1,2,3,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,1
1092,2,85,3,1,,,3,,11000,,10000,2,,2,6,,,,6,,,,,,0,,,,1,,2,,2,3,2,4,4,,2,3,2,,3,2,2,,,,4,3,3,3,4,4,2,2,4,4,3,3,4,,4,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3
3302,2,54,4,1,3,4,3,3,11000,11000,11000,6,12,1,5,,,5,8,3,0,7,0,1,10,4,6,,3,5,2,1,2,1,2,3,5,1,3,5,1,3,2,2,2,4,5,3,3,2,2,2,3,5,1,3,3,2,3,2,2,3,3,2,3,3,1,4,3,2,2,1,9,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,8,8,8,8,8,8,8,0,0,0,0,0,0,1,0,0,0,0,0,5,4,4,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,4,5
2975,2,55,13,1,1,7,2,,20000,,13000,6,,12,3,6,3,5,5,3,2,6,0,,10,,6,,4,,1,8,4,2,2,4,4,1,3,5,1,2,3,4,2,2,4,3,4,3,2,1,4,4,2,2,4,5,2,3,3,1,3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,1
453,2,30,10,5,2,16,3,3,13000,13000,22000,1,6,6,3,6,2,10,6,2,1,10,5,6,10,4,6,,5,3,1,5,4,2,2,4,4,1,2,5,2,2,,5,1,3,3,5,4,5,1,2,3,3,2,4,4,5,1,1,3,3,4,1,1,2,3,9,2,5,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,,,,,,,,,,,,,,,,,,,,,5,5,5,4,5,4,4,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,2,2,2,,5
413,2,63,10,1,2,14,2,2,13000,13000,11000,12,12,2,4,6,3,1,2,0,1,9,0,6,10,4,6,,2,5,1,8,2,2,2,4,4,1,3,5,1,2,3,4,2,3,4,3,4,2,3,2,3,4,1,3,3,4,3,1,1,1,2,2,2,1,1,7,7,9,9,8,9,9,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,8,9,9,8,8,9,9,8,0,0,0,0,0,0,1,0,0,0,0,0,5,5,5,5,5,4,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,,,,2.5,1
1091,2,75,3,1,3,3,2,2,11000,11000,77777,2,1,1,5,,,6,6,0,0,4,0,5,10,4,5,,3,1,3,4,3,2,2,3,4,4,3,4,2,3,3,3,,3,4,4,3,2,3,2,4,4,1,3,4,2,4,1,2,,3,,2,3,2,8,3,9,8,1,9,9,8,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3,1
3807,2,16,4,1,2,,2,2,11000,11000,18000,1,8,1,2,,,8,7,0,5,6,4,8,8,4,,,3,3,2,0,4,1,1,1,3,1,2,2,3,1,4,5,1,1,4,5,5,4,2,4,2,2,2,3,3,4,2,2,2,2,3,1,2,2,3,2,8,9,9,8,2,9,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,8,8,9,3,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,3,2,4,5,5,3,3,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,1,2,1.5,1
2439,1,43,7,1,2,,1,1,10000,12000,11000,2,12,2,6,2,2,0,10,5,0,0,0,8,10,4,2,,6,6,1,5,5,2,5,4,5,5,2,5,1,4,1,4,1,4,1,1,2,3,3,4,3,4,1,3,4,1,3,3,2,1,4,1,3,2,1,5,9,5,3,8,8,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9,8,8,8,8,1,4,8,0,0,0,0,0,0,1,0,0,0,0,0,1,5,5,5,4,3,2,3,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,1,2,3.5,1
1916,1,67,7,1,2,,2,2,11000,10000,11000,1,1,1,3,1,2,9,2,0,0,6,2,1,10,4,1,,4,5,1,5,4,3,2,3,3,4,2,4,1,3,3,4,2,3,4,5,3,4,2,2,3,4,1,3,4,2,2,2,2,2,2,2,3,3,4,4,2,5,4,2,9,3,9,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,5,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2.5,1
3578,1,18,4,2,,,2,2,13000,,13000,1,,1,2,,,8,2,0,2,5,4,2,10,4,1,,3,3,1,7,3,2,2,2,2,4,2,5,3,2,3,4,2,3,2,5,5,2,2,5,2,2,1,2,2,2,4,3,4,1,4,2,3,3,4,1,8,8,8,8,2,3,8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,8,8,4,8,8,8,8,8,0,0,0,0,0,0,1,0,0,0,0,0,5,4,4,5,5,3,5,5,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,2,2.5,1
1094,1,26,7,1,1,9,4,,,,,,,,5,,,0,0,0,0,0,0,,0,,,,1,,1,,,,2,3,5,2,2,4,1,4,3,4,,,3,1,3,4,2,2,5,4,1,1,4,1,5,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,4
399,2,32,13,5,3,14,3,,14000,,10000,3,,3,7,3,2,4,8,10,0,0,0,,10,,3,,1,,2,0,5,5,2,2,5,1,1,5,2,4,1,4,2,4,2,3,5,5,2,5,1,5,1,5,3,4,3,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,4
3548,1,24,10,1,,,1,1,18000,13000,10000,6,1,1,3,,,10,2,4,0,10,1,,10,4,6,,7,5,1,4,4,2,2,5,4,1,3,2,2,1,3,3,1,3,4,5,5,4,2,1,2,3,2,3,4,4,1,1,2,2,3,1,2,3,1,3,5,5,3,1,8,8,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,5,8,8,8,8,1,1,8,0,0,0,0,0,0,1,0,0,0,0,0,5,5,5,5,5,3,4,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,2,2,2,3,1
1917,2,45,6,1,3,4,1,1,10000,99999,10000,1,12,1,3,1,2,10,2,4,0,4,4,,10,4,1,,4,5,2,2,5,4,4,4,2,4,2,2,1,4,2,4,1,5,5,5,4,5,1,1,4,4,1,1,5,5,1,4,1,3,4,1,4,2,2,9,7,8,8,3,8,8,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,8,8,9,8,8,2,3,2,1,0,0,0,0,0,1,0,0,0,0,0,5,5,3,3,5,1,1,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,,,,3,1
4494,2,18,3,1,,,3,,11000,,13000,6,,6,2,6,2,7,6,0,1,10,1,,10,,6,,5,,1,8,5,2,2,3,4,2,3,5,1,2,3,5,1,2,5,3,4,3,3,1,4,5,2,1,4,2,2,1,3,1,4,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5
643,1,48,13,5,2,,1,1,99999,17000,99999,12,2,12,5,,,3,8,0,1,8,1,2,5,4,,,6,6,1,9,2,3,4,2,,1,2,5,3,1,2,5,1,3,2,5,3,2,,2,,,,2,,4,,3,2,2,4,1,3,2,1,6,1,6,1,7,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,8,8,8,3,8,3,4,8,0,0,0,0,0,0,0,1,0,0,0,0,5,3,5,5,5,1,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,2,1,1,2.5,1
705,1,38,13,1,1,,2,3,10000,10000,17000,2,2,9,6,2,3,4,9,6,7,5,8,5,9,4,9,,6,6,1,4,4,2,3,5,4,3,2,4,3,3,1,4,2,4,3,3,4,4,2,2,3,5,1,2,5,2,3,3,2,3,4,2,3,3,2,1,5,9,8,8,1,8,8,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,8,8,1,8,8,9,1,9,0,0,0,0,0,0,1,0,1,0,0,0,5,5,5,5,5,2,2,4,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,,,,3.5,1
4433,2,65,6,5,2,3,1,2,10000,12000,11000,3,3,3,7,3,2,0,0,10,4,0,,3,10,4,3,,6,5,2,2,3,1,3,4,5,2,1,2,1,3,1,1,2,5,2,4,2,3,2,1,5,3,1,3,3,2,2,1,2,,2,2,2,2,1,7,9,9,8,8,8,8,8,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,3,5,8,5,8,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,5,1
4007,1,64,7,5,2,3,2,1,11000,10000,11000,1,1,1,3,1,2,10,0,0,0,6,0,1,10,4,1,,6,4,1,5,4,2,2,4,4,3,2,4,2,3,2,3,,5,5,5,2,2,4,3,4,4,2,2,3,4,2,,,,,,,,1,7,3,8,8,3,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3.5,1
2964,2,62,13,4,2,,2,1,11000,11000,20000,1,1,6,4,6,3,7,4,0,0,9,0,6,0,4,,,5,6,3,5,,4,3,3,5,2,2,5,1,2,3,4,1,3,4,3,2,4,1,2,2,5,1,3,3,5,1,1,1,1,3,1,2,2,1,2,5,1,8,1,8,8,8,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,3,1,1,1,1,8,2,2,1,0,0,0,0,0,0,1,0,1,0,0,0,5,4,3,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2.5,1
29,2,21,8,4,2,2,2,,22000,,13000,2,,1,3,6,3,6,6,0,0,9,0,,10,,6,,5,,1,7,3,2,2,4,4,1,2,5,2,2,2,4,2,2,4,3,5,4,1,1,4,3,2,2,3,3,2,2,2,1,3,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1
2438,2,54,6,1,2,,2,3,20000,99999,10000,2,,2,7,2,2,0,10,0,0,0,0,2,10,5,2,,2,1,1,6,3,2,2,4,4,2,2,2,2,2,3,4,2,3,4,3,3,2,2,2,4,5,1,2,4,2,4,2,2,2,2,2,3,2,2,4,2,1,8,8,8,8,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,8,8,8,8,8,8,8,0,0,0,0,0,0,1,0,0,0,0,0,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2.5,1
3539,2,19,7,1,2,4,4,,10000,,99999,1,,1,4,,,9,3,4,4,7,,,2,,,1,5,,1,0,3,3,3,4,4,1,2,5,1,3,2,1,3,4,4,3,4,2,2,2,4,2,1,2,2,4,2,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,5
1914,1,61,7,1,2,9,2,1,10000,10000,20000,1,1,1,3,1,2,10,0,0,0,5,0,1,10,4,1,,6,5,1,5,5,1,2,4,3,4,2,2,1,3,,3,,3,5,4,3,2,1,2,4,5,1,1,5,2,1,1,1,1,1,,1,3,1,7,3,7,2,8,7,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,8,2,8,8,8,8,8,0,0,0,0,0,0,1,0,0,0,0,0,5,4,4,4,5,3,4,4,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,,,,,1
428,1,67,6,5,2,15,3,3,11000,22000,10000,9,2,2,8,,,4,8,3,0,7,7,2,9,4,9,,4,4,2,2,3,4,3,2,5,5,1,5,1,5,1,1,2,5,4,3,2,4,2,1,2,5,1,4,4,5,2,3,2,2,3,2,3,3,2,3,1,8,8,8,8,8,8,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,7,7,8,1,8,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,1,3,4,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,5,3
4277,1,20,8,4,2,16,2,,10000,,22000,2,,2,5,2,2,5,7,0,4,4,0,,10,,2,,4,,1,3,3,1,1,5,1,1,2,5,2,2,4,4,1,2,3,5,1,1,1,2,4,3,2,1,3,2,2,2,1,2,4,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
3407,1,76,6,4,2,19,1,1,13000,11000,16000,1,8,6,5,,,6,6,0,0,0,0,1,10,4,1,,6,5,3,1,5,2,5,4,4,4,1,1,1,2,2,4,3,5,3,3,,4,3,3,1,5,1,1,4,3,2,1,2,,4,3,1,2,1,7,7,8,8,8,8,8,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,8,3,8,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,1,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3,1
3300,2,48,6,1,3,,3,,17000,,11000,2,,2,6,,,3,8,0,0,8,0,,1,,,6,3,,2,2,,4,1,4,5,1,3,5,1,3,3,3,3,2,4,4,3,2,3,4,5,4,1,3,5,2,2,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
1011,1,62,6,5,1,,3,,10000,,10000,1,,1,7,,,4,5,3,5,4,2,,10,,8,,4,,2,4,1,2,2,2,5,5,2,5,1,4,2,1,2,4,1,4,2,2,3,3,5,4,2,2,5,4,2,4,3,,,2,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,3
4340,1,16,6,1,2,,2,,10000,,10000,2,,1,5,2,2,6,9,5,1,0,0,,10,,2,,3,,1,6,3,2,2,4,4,3,2,4,3,5,2,2,1,5,3,1,5,2,3,4,2,4,1,4,2,1,1,2,2,3,4,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1
608,2,61,6,4,,,3,3,11000,12000,20000,1,1,6,4,6,3,6,3,0,0,4,0,6,10,4,,,4,4,3,5,2,2,1,4,2,1,1,1,2,2,1,4,2,3,3,4,4,2,4,3,3,4,2,4,2,3,3,1,2,,3,2,3,3,1,7,6,9,5,9,8,8,8,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,7,8,6,5,8,7,8,8,0,0,0,0,0,0,0,0,0,1,0,0,5,4,4,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,3.5,3
4254,2,64,8,4,2,8,1,,,,,,,,6,2,2,4,10,0,,4,,,10,,2,,7,,1,5,5,3,5,5,2,5,3,5,3,1,3,3,2,4,3,1,1,5,1,2,3,5,1,3,4,5,3,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1
4657,1,35,13,4,2,14,4,3,,20000,,,6,,2,6,3,0,0,0,0,10,0,6,10,4,6,,6,5,1,10,2,1,4,2,5,1,3,1,1,1,4,5,1,1,5,4,5,4,4,5,2,2,1,5,4,4,2,4,3,4,4,1,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,5,5,1,1,1,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,,,,1.5,1
279,2,55,7,4,2,10,3,,,,,,,,1,6,2,5,0,0,0,10,0,,10,,6,,4,,1,5,5,1,1,2,,1,1,,1,1,2,3,3,3,5,4,2,2,3,3,5,5,1,2,4,4,3,4,3,4,4,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3
603,1,48,8,4,2,,1,2,11000,11000,10000,12,12,2,5,,,0,0,0,0,0,0,12,10,4,,,6,6,1,10,1,5,3,5,5,1,3,5,3,1,5,5,2,3,5,5,5,3,3,3,3,4,2,2,5,4,2,2,2,2,3,2,1,2,3,3,8,7,1,7,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,8,8,7,7,9,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,5,4,4,4,3,1,1,3,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,,,,1,1
4591,2,34,12,4,2,17,2,2,13000,13000,20000,6,8,6,2,6,2,2,0,0,0,9,0,8,10,4,6,,4,6,1,6,4,3,2,2,1,1,5,1,2,1,4,4,3,2,3,4,5,2,3,3,3,5,2,3,4,4,2,2,1,3,3,3,,2,3,8,8,1,8,8,8,8,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,8,8,1,8,8,1,1,8,0,0,0,0,0,0,0,0,0,1,0,0,4,5,4,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,2,1
626,1,18,4,4,,,2,2,13000,13000,21000,1,8,,6,2,2,5,8,5,0,0,0,2,10,4,2,,5,2,3,4,3,4,,5,5,1,3,5,4,2,3,4,1,2,4,5,3,5,1,2,2,2,3,3,4,1,1,1,2,1,3,1,2,1,2,3,5,5,8,1,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5,2,6,1,3,6,5,4,0,0,0,0,0,0,0,0,1,0,0,0,5,5,5,5,5,4,3,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,1,2,1,2,2.5,1
4010,1,80,8,4,2,,2,2,10000,12000,22000,1,1,3,5,1,1,9,7,6,6,1,6,1,10,4,1,,5,5,2,0,5,1,1,5,4,5,3,5,1,5,1,1,1,5,4,4,2,3,1,1,4,5,1,2,5,3,1,3,3,,4,1,3,3,4,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,2,9,7,8,9,2,9,0,0,0,0,0,0,0,1,0,0,0,0,3,1,4,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,5,2
702,2,38,13,4,2,,3,3,22000,11000,10000,6,6,1,2,6,2,6,2,0,0,10,0,6,10,4,6,,7,4,1,5,4,2,1,5,,1,3,2,3,1,5,5,3,4,5,5,1,2,3,3,3,3,2,4,4,3,2,3,2,2,4,3,2,2,2,3,8,3,8,9,8,8,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,8,8,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,1,0,0,5,5,1,5,5,2,5,2,5,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,2,1,2
2982,1,27,13,4,2,,1,1,13000,13000,99999,6,6,6,1,6,2,4,1,0,0,10,0,6,10,4,6,,7,6,1,10,4,1,1,1,1,1,4,1,1,1,5,5,1,2,5,1,4,5,1,3,3,5,1,3,5,4,2,1,2,1,,1,2,2,2,8,3,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,8,8,1,8,8,1,1,8,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,5,5,1,2,1,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,1,1
